# MIST version number  = 1.2     
# MESA revision number =     7503
# photometric system   = UBV(RI)c, 2MASS, Kepler, Hipparcos, Gaia (Vega)                 
# --------------------------------------------------------------------------------------
#  Yinit        Zinit   [Fe/H]   [a/Fe]  v/vcrit                                        
# 0.2733  1.61904E-02     0.06     0.00     0.40
# --------------------------------------------------------------------------------------
# number of isochrones =     1
# CCM89 extinction: Av =  0.000
# --------------------------------------------------------------------------------------
# number of EEPs, cols =  1474   34
#   1                               2                               3                               4                               5                               6                               7                               8                   9                  10                  11                  12                  13                  14                  15                  16                  17                  18                  19                  20                  21                  22                  23                  24                  25                  26                  27                  28                  29                  30                  31                  32                  33                  34
# EEP                isochrone_age_yr                    initial_mass                       star_mass                        log_Teff                           log_g                           log_L                     [Fe/H]_init              [Fe/H]           Bessell_U           Bessell_B           Bessell_V           Bessell_R           Bessell_I             2MASS_J             2MASS_H            2MASS_Ks           Kepler_Kp          Kepler_D51        Hipparcos_Hp             Tycho_B             Tycho_V       Gaia_G_DR2Rev      Gaia_BP_DR2Rev      Gaia_RP_DR2Rev          Gaia_G_MAW        Gaia_BP_MAWb        Gaia_BP_MAWf         Gaia_RP_MAW                TESS         Gaia_G_EDR3        Gaia_BP_EDR3        Gaia_RP_EDR3               phase
  258         5.0000000000000286E+009         3.1754610305253922E-001         3.1753887103266326E-001         3.5298352767595653E+000         4.9339834111464596E+000        -1.9203978674859223E+000         5.9999999999999998E-002            0.125084           13.822950           12.817395           11.452831           10.374490            9.047209            7.719920            7.068930            6.860549           10.418489           12.103027           11.437596           13.048470           11.673031           10.419479           11.722080            9.332916           10.405293           11.677864           11.720764            9.311079            9.255764           10.424975           11.697468            9.309728            0.000000
  259         5.0000000000000286E+009         3.1846011561877108E-001         3.1845285325767314E-001         3.5300358195131865E+000         4.9333680216615967E+000        -1.9177240873664585E+000         5.9999999999999998E-002            0.125116           13.813129           12.807429           11.443203           10.365680            9.039857            7.713768            7.062662            6.854352           10.410214           12.093333           11.428320           13.038610           11.663284           10.411445           11.712447            9.325418           10.397205           11.668237           11.711142            9.303589            9.248425           10.416891           11.687830            9.302249            0.000000
  260         5.0000000000000286E+009         3.1916964868278475E-001         3.1916236140624982E-001         3.5302072787551335E+000         4.9328729778209839E+000        -1.9155649099324397E+000         5.9999999999999998E-002            0.125146           13.805056           12.799225           11.435282           10.358457            9.033885            7.708826            7.057621            6.849372           10.403452           12.085360           11.420700           13.030500           11.655260           10.404888           11.704520            9.319322           10.390604           11.660316           11.703225            9.297499            9.242465           10.410291           11.679901            9.296169            0.000000
  261         5.0000000000000286E+009         3.1994310980126162E-001         3.1993579596818145E-001         3.5304061674618832E+000         4.9323797675278591E+000        -1.9132097033144631E+000         5.9999999999999998E-002            0.125174           13.796090           12.790087           11.426456           10.350442            9.027329            7.703469            7.052153            6.843973           10.395974           12.076488           11.412225           13.021480           11.646318           10.397649           11.695690            9.312619           10.383314           11.651491           11.694407            9.290805            9.235922           10.403002           11.671067            9.289487            0.000000
  262         5.0000000000000286E+009         3.2069220610948490E-001         3.2068487063932627E-001         3.5305984418325367E+000         4.9318838260492130E+000        -1.9109118108147993E+000         5.9999999999999998E-002            0.125205           13.787374           12.781209           11.417884           10.342649            9.020944            7.698237            7.046813            6.838700           10.388699           12.067868           11.403989           13.012713           11.637631           10.390603           11.687112            9.306091           10.376219           11.642919           11.685841            9.284284            9.229548           10.395908           11.662486            9.282977            0.000000
  263         5.0000000000000286E+009         3.2143114389609712E-001         3.2142378970597724E-001         3.5307761866086183E+000         4.9313803822318301E+000        -1.9086804163839974E+000         5.9999999999999998E-002            0.125234           13.779046           12.772738           11.409701           10.335186            9.014777            7.693133            7.041606            6.833556           10.381710           12.059635           11.396116           13.004342           11.629343           10.383828           11.678925            9.299793           10.369397           11.634737           11.677664            9.277992            9.223391           10.389089           11.654295            9.276697            0.000000
  264         5.0000000000000286E+009         3.2222738848392074E-001         3.2222001721248361E-001         3.5310091322425934E+000         4.9308921978511968E+000        -1.9061625782184863E+000         5.9999999999999998E-002            0.125261           13.769185           12.762651           11.399961           10.326390            9.007701            7.687465            7.035809            6.827841           10.373547           12.049857           11.386785           12.994402           11.619467           10.375945           11.669178            9.292542           10.361454           11.624997           11.667933            9.270751            9.216327           10.381147           11.644546            9.269469            0.000000
  265         5.0000000000000286E+009         3.2299966175117523E-001         3.2299709089457218E-001         3.5304854322186952E+000         4.9408125987801883E+000        -1.9164482853329170E+000         5.9999999999999998E-002            0.121959           13.804335           12.796257           11.431199           10.355709            9.034423            7.712051            7.061015            6.852779           10.402033           12.082613           11.417369           13.028540           11.651064           10.404034           11.700435            9.319555           10.389627           11.656224           11.699179            9.297752            9.243062           10.409321           11.675801            9.296444            0.000000
  266         5.0000000000000286E+009         3.2378895644826056E-001         3.2378646767623254E-001         3.5305733571376989E+000         4.9434700483192602E+000        -1.9180149334594927E+000         5.9999999999999998E-002            0.121810           13.807293           12.798576           11.433207           10.358119            9.037824            7.716273            7.065303            6.857073           10.404843           12.085013           11.419600           13.031153           11.653038           10.407014           11.702438            9.322865           10.392570           11.658226           11.701195            9.301068            9.246481           10.412267           11.677801            9.299767            0.000000
  267         5.0000000000000286E+009         3.2466020308153487E-001         3.2465771198163018E-001         3.5308262057165516E+000         4.9427776454183139E+000        -1.9151126354948949E+000         5.9999999999999998E-002            0.121804           13.796113           12.787189           11.422226           10.348164            9.029726            7.709693            7.058584            6.850443           10.395568           12.073967           11.409061           13.019915           11.641906           10.398043           11.691450            9.314577           10.383534           11.647245           11.690222            9.292789            9.238395           10.403232           11.666808            9.291503            0.000000
  268         5.0000000000000286E+009         3.2550836166955094E-001         3.2550586571572226E-001         3.5310340633229922E+000         4.9419347467314605E+000        -1.9122719823485570E+000         5.9999999999999998E-002            0.121806           13.785754           12.776711           11.412122           10.338897            9.021954            7.703141            7.051906            6.843841           10.386846           12.063770           11.399313           13.009537           11.631677           10.389563           11.681340            9.306651           10.375002           11.637142           11.680124            9.284871            9.230630           10.394702           11.656695            9.283598            0.000000
  269         5.0000000000000286E+009         3.2863599552612294E-001         3.2863344218262880E-001         3.5317516929765680E+000         4.9396137937811551E+000        -1.9029038777409419E+000         5.9999999999999998E-002            0.121821           13.751246           12.741646           11.378240           10.307901            8.996193            7.681640            7.029985            6.822177           10.357758           12.029665           11.366665           12.974876           11.597365           10.361324           11.647438            9.280345           10.346582           11.603263           11.646265            9.258593            9.204889           10.366287           11.622781            9.257363            0.000000
  270         5.0000000000000286E+009         3.3203214134882947E-001         3.3202952792786183E-001         3.5325560895273131E+000         4.9370671903383663E+000        -1.8926144266565159E+000         5.9999999999999998E-002            0.121808           13.713230           12.702936           11.340812           10.273687            8.967870            7.658082            7.005951            6.798431           10.325683           11.992018           11.330610           12.936643           11.559456           10.330203           11.609988            9.251398           10.315257           11.565838           11.608864            9.229676            9.176575           10.334970           11.585318            9.228496            0.000000
  271         5.0000000000000286E+009         3.3559629568628152E-001         3.3559361336223942E-001         3.5333269169736572E+000         4.9346407069680360E+000        -1.8824354073242207E+000         5.9999999999999998E-002            0.121815           13.676115           12.665117           11.304193           10.240128            8.939959            7.634717            6.982121            6.774881           10.294167           11.955203           11.295296           12.899292           11.522376           10.299596           11.573349            9.222877           10.284456           11.529222           11.572273            9.201184            9.148658           10.304175           11.548666            9.200053            0.000000
  272         5.0000000000000286E+009         3.4340692985031873E-001         3.4340356427324442E-001         3.5359349576384100E+000         4.9226881051890006E+000        -1.8505157329778319E+000         5.9999999999999998E-002            0.120991           13.557503           12.543849           11.186928           10.133152            8.852161            7.562086            6.907645            6.701384           10.194056           11.837181           11.182396           12.779645           11.403521           10.202543           11.456038            9.132925           10.186758           11.411994           11.455128            9.111330            9.060731           10.206500           11.431311            9.110369            0.000000
  273         5.0000000000000286E+009         3.4630925287531122E-001         3.4630586197998270E-001         3.5365275546294876E+000         4.9203808849155113E+000        -1.8421392711539415E+000         5.9999999999999998E-002            0.120796           13.527923           12.513571           11.157481           10.106016            8.829420            7.542791            6.887937            6.681901           10.168486           11.807615           11.153934           12.749772           11.373713           10.177670           11.426580            9.109676           10.161738           11.382555           11.425711            9.088103            9.037942           10.181485           11.401844            9.087181            0.000000
  274         5.0000000000000286E+009         3.4862399823877099E-001         3.4862059525097999E-001         3.5370118338556917E+000         4.9196277412436098E+000        -1.8365389445313518E+000         5.9999999999999998E-002            0.120672           13.506989           12.491880           11.136309           10.086741            8.813870            7.530159            6.875024            6.669166           10.150548           11.786493           11.133586           12.728505           11.352253           10.160323           11.405397            9.093695           10.144268           11.361387           11.404562            9.072141            9.022349           10.164020           11.380651            9.071252            0.000000
  275         5.0000000000000286E+009         3.5091416850664947E-001         3.5091075463295729E-001         3.5374757272978408E+000         4.9189789259064387E+000        -1.8311561540189951E+000         5.9999999999999998E-002            0.120526           13.486925           12.471055           11.115954           10.068206            8.798929            7.518023            6.862623            6.656934           10.133302           11.766205           11.114025           12.708103           11.331622           10.143646           11.385036            9.078333           10.127472           11.341037           11.384233            9.056797            9.007362           10.147228           11.360280            9.055941            0.000000
  276         5.0000000000000286E+009         3.5336237367339751E-001         3.5335894218214242E-001         3.5379550847910344E+000         4.9165523005400287E+000        -1.8237635633513498E+000         5.9999999999999998E-002            0.120129           13.461546           12.445064           11.090618           10.044739            8.779038            7.500894            6.845119            6.639619           10.111098           11.740760           11.089484           12.682451           11.305990           10.122005           11.359694            9.058016           10.105714           11.315712           11.358926            9.036498            8.987416           10.125474           11.334931            9.035674            0.000000
  277         5.0000000000000286E+009         3.5638800883152155E-001         3.5638452124159764E-001         3.5386782061334445E+000         4.9171627773246209E+000        -1.8177860201797775E+000         5.9999999999999998E-002            0.119999           13.436478           12.418567           11.064633           10.021592            8.761683            7.488046            6.831944            6.626702           10.090037           11.715075           11.064761           12.656744           11.279581           10.101862           11.333694            9.039975           10.085379           11.289730           11.332980            9.018486            8.969975           10.105146           11.308915            9.017715            0.000000
  278         5.0000000000000286E+009         3.5965412835687199E-001         3.5965055577790445E-001         3.5394757996254391E+000         4.9166313826451526E+000        -1.8100846139171720E+000         5.9999999999999998E-002            0.119755           13.406026           12.386654           11.033395            9.993473            8.739868            7.471102            6.814572            6.609628           10.064171           11.684039           11.034896           12.625644           11.247868           10.076988           11.302444            9.017401           10.060298           11.258500           11.301788            8.995943            8.948051           10.080075           11.277646            8.995229            0.000000
  279         5.0000000000000286E+009         3.6215533952249290E-001         3.6215170824566606E-001         3.5400160873451454E+000         4.9131865940880708E+000        -1.8014675022473705E+000         5.9999999999999998E-002            0.118976           13.376841           12.356669           11.004092            9.966288            8.716788            7.451125            6.794116            6.589396           10.038425           11.654615           11.006498           12.596076           11.218224           10.051883           11.273142            8.993812           10.035060           11.229216           11.272526            8.972375            8.924883           10.054842           11.248335            8.971699            0.000000
  280         5.0000000000000286E+009         3.6414047300566710E-001         3.6413679831927587E-001         3.5404297320986458E+000         4.9083669050492080E+000        -1.7926314978707476E+000         5.9999999999999998E-002            0.117900           13.348881           12.328205           10.976295            9.940120            8.693658            7.430238            6.772721            6.568190           10.013304           11.626556           10.979382           12.567842           11.190152           10.027231           11.245353            8.970295           10.010311           11.201443           11.244766            8.948873            8.901674           10.030097           11.220541            8.948226            0.000000
  281         5.0000000000000286E+009         3.6614079228813634E-001         3.6613707295649672E-001         3.5408890163656879E+000         4.9043569823128985E+000        -1.7844056945226066E+000         5.9999999999999998E-002            0.116874           13.321880           12.300497           10.949183            9.914821            8.671851            7.411024            6.753022            6.548692            9.989220           11.599292           10.953044           12.540477           11.162744           10.003689           11.218247            8.948046            9.986658           11.174353           11.217695            8.926640            8.879780           10.006448           11.193428            8.926027            0.000000
  282         5.0000000000000286E+009         3.6803518755684428E-001         3.6803142664836824E-001         3.5413430859462096E+000         4.9011855979591585E+000        -1.7771658067444824E+000         5.9999999999999998E-002            0.115906           13.297482           12.275285           10.924457            9.891893            8.652470            7.394279            6.735840            6.531704            9.967534           11.574511           10.929096           12.515665           11.137726            9.982554           11.193525            8.928215            9.965409           11.149646           11.193008            8.906826            8.860309            9.985204           11.168697            8.906247            0.000000
  283         5.0000000000000286E+009         3.7048444449011009E-001         3.7048063051910252E-001         3.5420899759561770E+000         4.8984386649599685E+000        -1.7685429483211919E+000         5.9999999999999998E-002            0.114788           13.265654           12.241911           10.891653            9.862053            8.628652            7.374968            6.715962            6.512135            9.939819           11.541842           10.897604           12.483088           11.104457            9.955779           11.160726            8.903635            9.938440           11.116867           11.160269            8.882275            8.836339            9.958243           11.135881            8.881753            0.000000
  284         5.0000000000000286E+009         3.7334646780293385E-001         3.7334259388767616E-001         3.5430274245399636E+000         4.8970176450671872E+000        -1.7600440652105083E+000         5.9999999999999998E-002            0.114183           13.231543           12.205808           10.856151            9.830246            8.604479            7.356534            6.696946            6.493503            9.910713           11.506622           10.863754           12.448061           11.068381            9.927863           11.125220            8.878490            9.910278           11.081388           11.124839            8.857168            8.811968            9.930092           11.100355            8.856717            0.000000
  285         5.0000000000000286E+009         3.7591176621656602E-001         3.7590783984682163E-001         3.5438109088884473E+000         4.8958811875308896E+000        -1.7528162110226175E+000         5.9999999999999998E-002            0.113757           13.202739           12.175317           10.826134            9.803324            8.583971            7.340828            6.680758            6.477641            9.886055           11.476845           10.835126           12.418608           11.037883            9.904203           11.095202            8.857157            9.886413           11.051392           11.094885            8.835866            8.791282            9.906235           11.070318            8.835475            0.000000
  286         5.0000000000000286E+009         3.7829829724765085E-001         3.7829432388912210E-001         3.5445057936381232E+000         4.8947280241836406E+000        -1.7461439521914794E+000         5.9999999999999998E-002            0.113302           13.176580           12.147615           10.798819            9.778759            8.565142            7.326264            6.665754            6.462933            9.863511           11.449751           10.809051           12.391957           11.010139            9.882549           11.067889            8.837580            9.864575           11.024097           11.067629            8.816317            8.772281            9.884405           11.042989            8.815981            0.000000
  287         5.0000000000000286E+009         3.8078545628493388E-001         3.8078143610402437E-001         3.5452202453326764E+000         4.8935227949116280E+000        -1.7392378373375834E+000         5.9999999999999998E-002            0.112822           13.149702           12.119090           10.770639            9.753378            8.545694            7.311192            6.650225            6.447701            9.840214           11.421821           10.782131           12.364535           10.981519            9.860167           11.039713            8.817344            9.842006           10.995939           11.039512            8.796110            8.752637            9.861844           11.014793            8.795831            0.000000
  288         5.0000000000000286E+009         3.8404744248778400E-001         3.8404336005582984E-001         3.5460970533324083E+000         4.8917706359243533E+000        -1.7302952433284178E+000         5.9999999999999998E-002            0.112271           13.115721           12.083048           10.734993            9.721117            8.520723            7.291542            6.629992            6.427825            9.810501           11.386475           10.748006           12.329863           10.945332            9.831570           11.004070            8.791386            9.813182           10.960321           11.003944            8.770186            8.727399            9.833031           10.979130            8.769979            0.000000
