# BPmag  e_BPmag  RPmag  e_RPmag  Gmag  e_Gmag  GABS  e_GABS
9.708436012268066406e+00 4.624136393582260903e-04 9.193085670471191406e+00 3.258467302461799013e-04 9.521263122558593750e+00 2.213415579068746773e-04 2.834228822474770482e+00 2.213415579068746773e-04
1.462079620361328125e+01 2.190248979290304772e-03 1.299308013916015625e+01 8.483816275178986946e-04 1.384821224212646484e+01 3.078395224739847763e-04 7.335367440871571887e+00 3.078395224739847763e-04
1.896599769592285156e+01 3.332888275964147190e-02 1.609317970275878906e+01 5.633411892534331659e-03 1.731563758850097656e+01 1.230801750419930306e-03 1.057753942538578329e+01 1.230801750419930306e-03
1.693480110168457031e+01 4.809770151910339880e-03 1.446424293518066406e+01 2.342293435757086296e-03 1.560688304901123047e+01 7.374824554872091726e-04 9.251559855346144445e+00 7.374824554872091726e-04
1.434307956695556641e+01 1.046493061074848206e-03 1.286083126068115234e+01 8.469417214098507287e-04 1.365815448760986328e+01 2.914266856477965798e-04 6.971388324061811304e+00 2.914266856477965798e-04
8.839640617370605469e+00 6.720409052381426341e-04 8.431815147399902344e+00 5.309049373590123610e-04 8.697772979736328125e+00 3.089176634685649424e-04 2.333683037306441221e+00 3.089176634685649424e-04
1.780304145812988281e+01 1.049702757401943867e-02 1.517840003967285156e+01 1.749917038922865287e-03 1.635722732543945312e+01 9.360023597948374926e-04 9.752561949525928142e+00 9.360023597948374926e-04
1.755450057983398438e+01 1.439606946242139203e-02 1.500162696838378906e+01 2.132918617506531292e-03 1.616297912597656250e+01 1.107756663690855634e-03 9.493854638065499785e+00 1.107756663690855634e-03
1.819043159484863281e+01 2.345303003892217422e-02 1.526681900024414062e+01 3.225620378488204976e-03 1.651550102233886719e+01 1.186793860133398323e-03 9.885592417177509361e+00 1.186793860133398323e-03
1.733483695983886719e+01 8.203090234381890319e-03 1.485559940338134766e+01 1.849927891477500235e-03 1.600061225891113281e+01 8.038360219652719877e-04 9.577503427955758042e+00 8.038360219652719877e-04
2.014683723449707031e+01 7.268963013733877043e-02 1.707406997680664062e+01 1.045214724067865773e-02 1.829311752319335938e+01 1.824887673899564270e-03 1.169486855034969963e+01 1.824887673899564270e-03
1.082898521423339844e+01 1.466015390852104137e-03 1.011542129516601562e+01 1.014480427892975505e-03 1.055213260650634766e+01 5.171184241019159168e-04 4.041198139408358259e+00 5.171184241019159168e-04
1.867905044555664062e+01 1.808968723780636154e-02 1.588891315460205078e+01 3.696876267512414112e-03 1.710202217102050781e+01 9.632049718041274609e-04 1.070365832259399141e+01 9.632049718041274609e-04
1.688649177551269531e+01 1.411331615062509127e-02 1.452777671813964844e+01 5.547533144057520578e-03 1.566596221923828125e+01 7.508795973148469759e-04 9.281183523929971813e+00 7.508795973148469759e-04
1.665829658508300781e+01 3.350064337144594007e-02 1.437719440460205078e+01 1.035533018421718257e-02 1.554912376403808594e+01 1.037643597918362160e-03 9.102676519314622183e+00 1.037643597918362160e-03
1.998838424682617188e+01 6.757508089795818962e-02 1.694174194335937500e+01 1.097732462501755692e-02 1.823410987854003906e+01 1.364203449611573696e-03 1.174822648709363193e+01 1.364203449611573696e-03
1.027033710479736328e+01 3.273201389803285784e-04 9.654046058654785156e+00 2.287285675829165755e-04 1.003862762451171875e+01 1.949159000537694026e-04 3.456286031130458625e+00 1.949159000537694026e-04
1.893507766723632812e+01 2.126980743149830058e-02 1.625024414062500000e+01 5.607713256661414625e-03 1.743257141113281250e+01 1.224160633695438750e-03 1.060836664243633187e+01 1.224160633695438750e-03
1.906680488586425781e+01 3.170834876972328242e-02 1.606682014465332031e+01 4.789574684356475570e-03 1.731528091430664062e+01 1.557796847252005063e-03 1.099055800845127351e+01 1.557796847252005063e-03
1.934573173522949219e+01 3.477379932288764131e-02 1.622585296630859375e+01 5.300483791393445498e-03 1.750334358215332031e+01 1.222845843145479615e-03 1.187299691519277189e+01 1.222845843145479615e-03
1.597450733184814453e+01 2.599771961214085610e-03 1.409035015106201172e+01 1.646550099975397198e-03 1.504589748382568359e+01 4.256931733119937084e-04 7.903359209561383381e+00 4.256931733119937084e-04
1.885779190063476562e+01 3.405280136890669052e-02 1.617866706848144531e+01 5.183833550956303687e-03 1.738460731506347656e+01 1.124378501324981407e-03 1.086797063579747658e+01 1.124378501324981407e-03
1.987524986267089844e+01 7.238589739099937637e-02 1.663303756713867188e+01 7.251733096076341985e-03 1.793909454345703125e+01 1.781519835131367777e-03 1.188031611888025907e+01 1.781519835131367777e-03
1.467875099182128906e+01 1.324113579471315142e-03 1.292026233673095703e+01 8.510305198162755429e-04 1.382626056671142578e+01 2.946494332532087175e-04 7.648500583305262168e+00 2.946494332532087175e-04
1.353623771667480469e+01 4.757647459372811756e-03 1.219789886474609375e+01 3.299283957420144110e-03 1.293508338928222656e+01 1.271005497355639060e-03 5.744495507481659047e+00 1.271005497355639060e-03
2.013199806213378906e+01 1.071278734219427847e-01 1.717296409606933594e+01 8.040236591019236240e-03 1.847780799865722656e+01 2.255508283799678455e-03 1.154239936346368545e+01 2.255508283799678455e-03
1.006842327117919922e+01 3.545364760269257448e-04 9.468215942382812500e+00 2.952985235575283224e-04 9.844190597534179688e+00 2.126891912715378431e-04 3.310975478405179473e+00 2.126891912715378431e-04
1.207990932464599609e+01 1.263360156448800793e-03 1.103714370727539062e+01 7.447353791045974907e-04 1.164014530181884766e+01 4.566575948332444708e-04 5.619682435653784225e+00 4.566575948332444708e-04
1.699296188354492188e+01 5.128583637038269284e-03 1.476458930969238281e+01 2.011995693419321458e-03 1.583568286895751953e+01 6.858501164946652611e-04 8.791992738746797542e+00 6.858501164946652611e-04
1.007196140289306641e+01 5.900437140322806239e-04 9.470259666442871094e+00 3.045900050141839830e-04 9.847782135009765625e+00 2.197797335318563475e-04 3.456200269291054283e+00 2.197797335318563475e-04
1.791857719421386719e+01 1.924319749994134535e-02 1.540707874298095703e+01 2.402453368368281765e-03 1.656188964843750000e+01 7.726003992089481480e-04 1.048707858378331537e+01 7.726003992089481480e-04
2.013100242614746094e+01 9.863310557150807567e-02 1.677264785766601562e+01 8.037338566023823072e-03 1.808420753479003906e+01 2.004766713015795551e-03 1.196642642595294959e+01 2.004766713015795551e-03
1.304032707214355469e+01 2.447983670167774069e-03 1.205311298370361328e+01 2.033518945505450627e-03 1.262842845916748047e+01 6.458650567449479574e-04 5.453569222593635857e+00 6.458650567449479574e-04
2.001685142517089844e+01 4.896666796730510945e-02 1.700119209289550781e+01 1.120952968219027582e-02 1.827700042724609375e+01 1.751521158545831002e-03 1.196901528935373804e+01 1.751521158545831002e-03
2.071101951599121094e+01 1.167404760056101887e-01 1.736667060852050781e+01 9.857505325133597909e-03 1.872066497802734375e+01 2.177463772515486617e-03 1.247653795721667791e+01 2.177463772515486617e-03
1.667482376098632812e+01 4.266254135918893034e-03 1.430088520050048828e+01 1.224474180178577705e-03 1.541893005371093750e+01 5.186014524881421605e-04 9.026293383952598504e+00 5.186014524881421605e-04
1.918038368225097656e+01 3.132386492735822481e-02 1.620929908752441406e+01 2.641809481561962786e-03 1.745569419860839844e+01 9.724797090777091441e-04 1.100041865749207126e+01 9.724797090777091441e-04
1.893666076660156250e+01 3.576844462873365188e-02 1.595965385437011719e+01 6.779044080757399594e-03 1.721667098999023438e+01 2.117747079621512193e-03 1.090352554518705297e+01 2.117747079621512193e-03
1.239301967620849609e+01 1.429012213239822188e-03 1.134362220764160156e+01 9.830041832800755740e-04 1.194679927825927734e+01 7.500602813760543853e-04 5.723977229054771243e+00 7.500602813760543853e-04
2.087629890441894531e+01 9.099531006542499467e-02 1.762999916076660156e+01 1.286821114736499787e-02 1.895877647399902344e+01 2.223419591924788614e-03 1.262449249001775975e+01 2.223419591924788614e-03
1.495853233337402344e+01 1.649318184388967080e-03 1.321064090728759766e+01 1.030541375953476302e-03 1.411368083953857422e+01 2.561957913108480335e-04 7.628516999687063205e+00 2.561957913108480335e-04
1.855556488037109375e+01 3.671602809827843872e-02 1.557828521728515625e+01 5.257143343503562979e-03 1.684332084655761719e+01 1.562198403847472709e-03 1.047261207796264770e+01 1.562198403847472709e-03
1.898235321044921875e+01 1.527158342510298063e-02 1.597730064392089844e+01 2.736619272737901305e-03 1.723040199279785156e+01 7.559507597514222811e-04 1.112060255806117581e+01 7.559507597514222811e-04
2.050052642822265625e+01 1.046344420487335253e-01 1.723203849792480469e+01 1.302684495302384830e-02 1.855193138122558594e+01 2.233067774800495935e-03 1.167968841931688928e+01 2.233067774800495935e-03
1.353113937377929688e+01 1.081848606936487451e-03 1.219550895690917969e+01 1.027723194059751693e-03 1.293015384674072266e+01 3.148482365008334078e-04 6.564565018233366800e+00 3.148482365008334078e-04
1.835675239562988281e+01 1.337462977135143484e-02 1.557470035552978516e+01 3.142544737117321327e-03 1.678250503540039062e+01 9.026536898773878607e-04 1.025675448648150123e+01 9.026536898773878607e-04
1.664223289489746094e+01 7.081832964619825567e-03 1.429646205902099609e+01 1.924183021014966126e-03 1.539635181427001953e+01 7.627789207630754657e-04 9.129977652452481607e+00 7.627789207630754657e-04
2.028533744812011719e+01 5.513262639578441621e-02 1.721544647216796875e+01 8.649445987349489023e-03 1.851654815673828125e+01 1.772946442035324430e-03 1.178163258261159996e+01 1.772946442035324430e-03
1.944796943664550781e+01 4.914270149967824713e-02 1.643843841552734375e+01 8.866424580841995515e-03 1.770355033874511719e+01 1.415167477494370159e-03 1.127447372971819206e+01 1.415167477494370159e-03
1.872385406494140625e+01 2.320562773610863536e-02 1.594204807281494141e+01 3.455279604761585330e-03 1.715832328796386719e+01 1.163641935518899308e-03 1.054735456880463396e+01 1.163641935518899308e-03
1.330099487304687500e+01 1.328960147550972215e-03 1.210936260223388672e+01 9.080904772109608123e-04 1.277872657775878906e+01 3.652066124932578533e-04 6.268686163350846385e+00 3.652066124932578533e-04
1.814334106445312500e+01 1.774099984435653990e-02 1.551390838623046875e+01 4.334172613167468040e-03 1.670698928833007812e+01 1.107739763079164906e-03 9.815316540074125129e+00 1.107739763079164906e-03
1.787377929687500000e+01 1.142603052420155044e-02 1.519636726379394531e+01 3.879796081722600501e-03 1.638478469848632812e+01 7.922400931265211879e-04 1.006955129482385303e+01 7.922400931265211879e-04
1.740674400329589844e+01 8.203124279395504134e-03 1.490976047515869141e+01 2.032550972698624493e-03 1.606000900268554688e+01 7.593477402862260431e-04 9.616160885092819299e+00 7.593477402862260431e-04
2.020400810241699219e+01 7.654522807902208736e-02 1.711663436889648438e+01 9.804090121775644803e-03 1.842438507080078125e+01 1.726884416129813044e-03 1.185522559906154250e+01 1.726884416129813044e-03
1.536445045471191406e+01 1.714973584776146621e-03 1.347670269012451172e+01 5.914293689851377782e-04 1.443131446838378906e+01 2.717641059341943275e-04 8.008899769496611754e+00 2.717641059341943275e-04
1.813995552062988281e+01 1.282250528361402082e-02 1.531141185760498047e+01 2.700335950290936107e-03 1.653611183166503906e+01 9.089394121946959030e-04 1.050033226956359478e+01 9.089394121946959030e-04
